,Unnamed: 0,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice,SalePrice_norm,YesPool,Yes2F,YesGarage,YesBsmt,YesFireplace,TotalLvgSF,TotalQuality,TotalSF,TotalBath,TotalPorchSF,TotalLvgSF_Qual,TotalCondQual
10,10,9.221581512008164,RM,11.766939648265808,13.485834478069936,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,3.9844166875627045,8.509633500848557e+51,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,21.156454361699037,TA,TA,CBlock,TA,TA,No,ALQ,103.3332274594776,Unf,0.0,22.787449596767523,483.0,GasA,TA,Y,SBrkr,6.965394246149506,602.394313479401,0.0,8.530819941487973,0.0,0.0,1,1.0684050848584057,2,0.7509514583083404,TA,1.6940883969616136,Typ,0.0,None,Detchd,1.4153815358789856e+124,Unf,1.0,264.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2008,COD,85400.0,11.35510137977666,0,1,1,1,0,41.881650048622284,47.79991882183636,12.905880333982989,1.5,0.0,105.90496512372012,30
11,11,4.300278327162467,RL,27.66645192195657,18.477460668394727,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,3.9844166875627045,1.1210865261073918e+52,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,104.50747074821044,Unf,0.0,82.63818835469495,1208.0,GasA,Ex,Y,SBrkr,8.14253577788617,0.0,0.0,8.837291030310519,0.0,0.0,2,0.0,2,0.7509514583083404,Gd,2.0705512392897854,Typ,0.0,None,Attchd,2.7175116825777606e+124,RFn,2.0,632.0,TA,TA,Y,32.720091763231785,11.920340595669245,0.0,0.0,0.0,0.0,0.0,2,2006,WD ,183600.0,12.120514757168527,0,0,1,1,0,51.42163461889262,55.278932360191156,13.354654693822681,2.0,38.316673799303146,133.26559535887267,35
12,12,6.981540182990563,RL,44.39571450446358,23.630790675617142,Reg,Bnk,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,5.336695698030829,3.9720258923273825e+51,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,8.226461332906345,880.9488189356138,0.0,9.631076998117416,0.0,0.0,1,0.0,4,0.7509514583083404,TA,2.222184992560414,Mod,0.9003031951550163,TA,Attchd,3.4929233126897435e+123,Unf,2.0,576.0,TA,TA,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2009,WD ,131000.0,11.782952602183288,0,1,1,0,1,47.729439146133316,55.278932360191156,14.050636585304883,1.0,0.0,124.11688292328738,35
13,13,9.221581512008164,FV,13.055644165875423,14.887130889857827,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,3.9844166875627045,1.0682152822677164e+52,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,28.863086996850853,Gd,TA,PConc,Gd,TA,No,GLQ,178.03028254295705,Unf,0.0,29.59851319692034,960.0,GasA,Ex,Y,SBrkr,7.846192411489268,777.3377829799783,0.0,9.2766159372129,0.9953655835411324,0.0,2,1.0684050848584057,3,0.7509514583083404,Gd,2.222184992560414,Typ,0.0,None,Detchd,2.470657066320672e+124,Unf,2.0,480.0,TA,TA,Y,45.507319703049994,0.0,0.0,0.0,0.0,0.0,0.0,12,2008,ConLD,200000.0,12.206072645530176,0,1,1,1,0,52.71804552469738,63.230894946193615,14.619283690913493,3.5,39.23482522672046,140.82957056029966,40
14,14,4.300278327162467,RL,30.87381440605546,19.43014559517939,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,3.9844166875627045,1.1392489551493666e+52,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,12.89784382361673,Unf,0.0,110.19363798006188,1351.0,GasA,Ex,Y,SBrkr,8.298780031596142,0.0,0.0,9.019939884064938,0.0,0.0,2,0.0,3,0.7509514583083404,Gd,2.0705512392897854,Typ,0.0,None,Attchd,2.8228392203700986e+124,RFn,2.0,610.0,TA,TA,Y,0.0,11.011249765502148,0.0,0.0,0.0,0.0,0.0,6,2008,WD ,193000.0,12.170445467887022,0,0,1,1,0,53.91998521586724,55.278932360191156,12.929033838482782,2.0,17.46277278439376,139.44999217464508,35
15,15,4.300278327162467,RL,36.670759300042846,19.621432922601382,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,3.9844166875627045,1.1121075012003155e+52,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,115.15226962440089,1430.0,GasA,Ex,Y,SBrkr,8.363786007158039,0.0,0.0,9.096071378509727,0.0,0.0,2,0.0,3,0.7509514583083404,Gd,2.222184992560414,Typ,0.0,None,Attchd,2.6662930628567656e+124,RFn,2.0,624.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2010,WD ,173500.0,12.063932878369052,0,0,1,1,0,55.10713887635979,40.801625121993396,13.022151064994988,2.0,0.0,132.5551016133613,25
16,16,6.981540182990563,RM,17.084927326939308,16.705802618242373,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,3.9844166875627045,5.392523431217404e+51,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,70.54240346259064,624.0,GasA,Fa,N,SBrkr,7.2900459990426425,870.9439902463963,0.0,9.000626386657073,0.0,0.0,1,0.0,4,0.7509514583083404,TA,2.222184992560414,Typ,0.0,None,Detchd,4.809390113070899e+123,Unf,3.0,513.0,Fa,Fa,Y,0.0,0.0,10.522618354239947,0.0,0.0,0.0,0.0,5,2008,COD,98000.0,11.492722757652713,0,1,1,1,0,47.25733401404364,40.801625121993396,12.841922123647914,1.0,27.03015701776871,114.43282643508807,25
17,17,4.300278327162467,RL,32.74289477233138,19.09245958807344,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,4.670325952935469,7.96965537122815e+51,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,151.30986792401706,Unf,0.0,59.60053548233081,1121.0,GasA,TA,Y,SBrkr,8.044972520316577,0.0,0.0,8.723480996137537,0.9953655835411324,0.0,1,0.0,3,0.7509514583083404,TA,1.8970859567358926,Typ,0.0,None,Detchd,1.2120079049709218e+124,Unf,2.0,480.0,TA,TA,Y,0.0,14.11957518436018,0.0,0.0,0.0,0.0,0.0,6,2009,WD ,139000.0,11.842229212112827,0,0,1,1,0,49.86509414810855,47.79991882183636,13.658163066945638,2.0,23.944013400948165,125.05944623943648,30
18,18,4.300278327162467,RL,29.92434476220447,18.816404022363315,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,3.9844166875627045,8.936935950866462e+51,1977,Gable,CompShg,Plywood,Plywood,BrkFace,17.122934654083412,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,72.92974268237822,660.0,GasA,Ex,Y,SBrkr,8.22340570970556,0.0,0.0,8.931768350045909,0.0,0.0,1,1.0684050848584057,3,0.7509514583083404,TA,2.222184992560414,Typ,0.9003031951550163,TA,Attchd,1.5893533825340336e+124,RFn,2.0,528.0,TA,TA,Y,39.557836711017664,0.0,0.0,0.0,0.0,0.0,0.0,4,2007,WD ,143500.0,11.874090314181814,0,0,1,1,1,47.02863416048843,47.79991882183636,12.712506371791031,1.5,34.349737759379984,118.26022604674536,30
19,19,6.607841250151849,FV,30.24199087520383,19.0156950375216,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,3.9844166875627045,1.1576871070604597e+52,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,12.89784382361673,Unf,0.0,77.54641568460448,756.0,GasA,Ex,Y,SBrkr,7.548941464597251,949.8309307698308,0.0,9.217604769243195,0.0,0.0,2,1.0684050848584057,3,0.7509514583083404,Gd,2.222184992560414,Typ,0.0,None,Attchd,2.9321381271833726e+124,Unf,2.0,614.0,TA,TA,Y,45.507319703049994,10.40314316108632,0.0,0.0,0.0,0.0,0.0,6,2010,Con,215200.0,12.279323107269766,0,1,1,1,0,50.41887816706506,55.278932360191156,13.298582841462366,2.5,45.77857144682015,130.78201126765728,35
20,20,4.300278327162467,RL,41.310785371343705,19.052497341760397,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,3.9844166875627045,8.303241536825998e+51,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,123.24026362472098,Unf,0.0,54.294948489268656,894.0,GasA,Gd,Y,SBrkr,7.751342613965172,0.0,0.0,8.382074606134575,0.0,0.0,1,0.0,3,0.7509514583083404,TA,1.8970859567358926,Typ,0.9003031951550163,Po,Attchd,1.3354959634026646e+124,Fin,2.0,450.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2007,WD ,129000.0,11.767567683343811,0,0,1,1,1,45.42170920792216,40.801625121993396,12.931130926506487,1.0,0.0,110.18821377902412,25
21,21,8.394950966035468,RL,19.351440741661445,17.459566070846336,IR1,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,3.9844166875627045,1.0768615697996912e+52,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,230.555186674024,Unf,0.0,49.377953425009686,1501.0,GasA,Ex,Y,SBrkr,8.559781800881552,0.0,0.0,9.326107447775673,0.9953655835411324,0.0,2,0.0,2,0.7509514583083404,Ex,1.8970859567358926,Typ,0.9003031951550163,Ex,Attchd,2.470657066320672e+124,Fin,2.0,499.0,TA,TA,Y,53.20068773691903,12.029148052159645,0.0,0.0,0.0,0.0,0.0,10,2009,WD ,278000.0,12.535376392672775,0,0,1,1,1,57.40364855843259,63.230894946193615,15.104046941371275,3.0,53.38277166717612,152.78282838537038,40
22,22,6.607841250151849,RL,39.593449310099004,20.574828933220918,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,3.9844166875627045,1.1210865261073918e+52,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,104.30986690065454,1209.0,GasA,Ex,Y,SBrkr,8.14361744159123,1278.7853446029112,0.0,9.806601937796536,0.0,0.0,2,1.0684050848584057,3,0.7509514583083404,Ex,2.35700115516981,Typ,0.9003031951550163,Gd,Attchd,2.7175116825777606e+124,Fin,2.0,575.0,TA,TA,Y,58.43211045119398,18.957991608854663,0.0,0.0,0.0,0.0,0.0,7,2006,New,344133.0,12.748783489541204,0,1,1,1,1,59.58513559505862,63.230894946193615,14.39483739129387,2.5,67.02068631117886,158.34242336083972,40
23,23,4.300278327162467,RL,31.188030996955913,18.715410964279837,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5.336695698030829,1.0094899963723314e+52,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,197.19424372777672,Unf,0.0,39.138003369542204,1168.0,GasA,Ex,Y,SBrkr,8.119619734198901,0.0,0.0,8.810542219327571,0.9953655835411324,0.0,2,0.0,3,0.7509514583083404,TA,2.0705512392897854,Typ,0.0,None,Attchd,2.1204239560466754e+124,Fin,2.0,420.0,TA,TA,Y,93.4773717554836,6.799488884138062,0.0,0.0,0.0,0.0,6.828136668610256,3,2010,WD ,185000.0,12.128111104060464,0,0,1,1,0,50.88395482219445,63.230894946193615,14.208624970925092,3.0,79.7455511504104,136.146046247421,42
24,24,9.740953758996843,RL,38.72487506061821,24.87413154741135,Reg,Bnk,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,3.9844166875627045,7.461944555907718e+51,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,215.53634757191992,Unf,0.0,0.0,1056.0,GasA,TA,N,SBrkr,7.967206840549302,0.0,0.0,8.632898216256633,0.9953655835411324,0.0,1,0.0,3,0.7509514583083404,TA,1.8970859567358926,Typ,0.0,None,Attchd,1.0371997574049652e+124,Fin,2.0,572.0,TA,TA,Y,61.85230985955322,0.0,0.0,0.0,0.0,0.0,0.0,1,2006,WD ,145000.0,11.884489021402711,0,0,1,1,0,48.653542543623004,40.801625121993396,14.19401133951056,2.0,52.48282814759274,117.65953685642134,25
25,25,4.300278327162467,RL,36.374025775568974,19.794663615290666,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,4.670325952935469,7.839774887302462e+51,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,1.8817859900367673,TA,TA,CBlock,TA,TA,No,Rec,252.56550516729374,Unf,0.0,28.85517720739559,1453.0,GasA,Ex,Y,SBrkr,8.384785811124498,0.0,0.0,9.120682754047673,0.9953655835411324,0.0,2,0.0,3,0.7509514583083404,TA,2.0705512392897854,Typ,0.9003031951550163,TA,Attchd,1.165790621410044e+124,RFn,2.0,530.0,TA,TA,Y,0.0,10.892309993715596,0.0,0.0,30.005532835773135,0.0,0.0,4,2009,WD ,187500.0,12.141534124392605,0,0,1,1,1,55.46848114516621,55.278932360191156,15.044000993892242,3.0,61.488242068236644,143.2807634013549,36
26,26,4.300278327162467,RL,27.992851483502935,18.93131297509944,Reg,Lvl,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5.986440105030452,8.10155207759172e+51,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,134.26542792994803,BLQ,7.275960847856147,38.21841544674812,894.0,GasA,Ex,Y,SBrkr,7.751342613965172,0.0,0.0,8.382074606134575,0.9953655835411324,0.0,1,0.0,3,0.7509514583083404,TA,1.8970859567358926,Typ,0.9003031951550163,Gd,Detchd,1.4712038109152283e+124,Unf,1.0,336.0,TA,TA,Y,84.42487290049206,19.09267254736594,0.0,0.0,0.0,0.0,0.0,4,2010,WD ,138500.0,11.83862560460953,0,0,1,1,1,45.42170920792216,63.230894946193615,13.285368267906039,2.0,85.3454270014566,122.18087266773993,40
27,27,6.182484906958001,RL,26.347109173140986,20.194259027414358,IR1,HLS,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,4.670325952935469,6.42836079806613e+51,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,143.57718499838256,Unf,0.0,48.7718608955511,942.0,GasA,Ex,Y,SBrkr,8.202857887533142,812.2430998988734,0.0,9.569044823733197,0.0,0.0,2,0.0,4,0.7509514583083404,Gd,2.222184992560414,Min2,0.9003031951550163,Gd,Detchd,7.288672986830756e+123,Unf,1.0,240.0,TA,TA,Y,0.0,9.757977437663815,0.0,0.0,0.0,0.0,0.0,7,2008,WD ,198000.0,12.196022309676671,0,1,1,1,1,55.26467526374569,47.79991882183636,14.777549454873862,2.0,15.004875753080439,137.98547120542867,30
28,28,9.740953758996843,C (all),31.188030996955913,18.840723788370617,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,4.670325952935469,4.51484962396517e+51,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,90.87036835634422,957.0,GasA,Fa,N,SBrkr,7.939840519451359,1168.7838236177038,0.0,9.611444239690416,0.0,0.0,2,0.0,4,1.248528863524039,TA,2.4784511538138516,Typ,0.0,None,None,0.0,None,0.0,0.0,None,None,N,0.0,0.0,12.027306921264193,0.0,0.0,0.0,0.0,6,2007,WD ,119600.0,11.691908120498669,0,1,0,1,0,55.79537672727703,47.79991882183636,14.012345921970745,2.0,33.52586991848523,139.2547672502767,30
29,29,6.182484906958001,RL,26.347109173140986,18.754779601579738,Reg,Lvl,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,5.336695698030829,7.10124570461205e+51,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,73.71332412481694,672.0,GasA,Ex,Y,SBrkr,7.384592741867459,294.29971997171305,0.0,8.431584510594288,0.0,0.0,1,0.0,3,0.7509514583083404,TA,2.0705512392897854,Typ,0.9003031951550163,Po,Detchd,2.6160149597147566e+124,Unf,2.0,576.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,8.528798569082426,7,2007,WD ,122900.0,11.719126295554124,0,1,1,1,1,43.33521429178824,55.278932360191156,11.787690769064884,1.0,0.0,113.21340146294855,35
